筆畫數,漢字
0,手
0,才
1,扎
2,扐
2,扑
2,扒
2,打
2,扔
3,托
3,扙
3,扚
3,扛
3,扜
3,扞
3,扠
3,扡
3,扢
3,扣
3,扤
3,扥
3,扦
4,扭
4,扮
4,扯
4,扰
4,扱
4,扲
4,扳
4,扴
4,扶
4,扷
4,批
4,扺
4,扻
4,扼
4,扽
4,找
4,承
4,技
4,抁
4,抃
4,抄
4,抆
4,抇
4,抈
4,抉
4,把
4,抌
4,抎
4,抏
4,抑
4,抒
4,抓
4,抔
4,投
4,抖
4,抗
4,折
5,抨
5,抩
5,抪
5,披
5,抬
5,抭
5,抮
5,抯
5,抰
5,抱
5,抳
5,抴
5,抵
5,抶
5,抸
5,抹
5,抻
5,押
5,抽
5,抾
5,抿
5,拂
5,拄
5,拆
5,拇
5,拈
5,拉
5,拊
5,拋
5,拌
5,拍
5,拎
5,拏
5,拐
5,拑
5,拒
5,拓
5,拔
5,拖
5,拗
5,拘
5,拙
5,拚
5,招
5,拜
6,拫
6,括
6,拭
6,拮
6,拯
6,拰
6,拱
6,拲
6,拳
6,拴
6,拵
6,拶
6,拷
6,拸
6,拹
6,拺
6,拻
6,拼
6,拽
6,拾
6,拿
6,挀
6,持
6,挂
6,挃
6,指
6,挈
6,按
6,挋
6,挌
6,挍
6,挎
6,挏
6,挐
6,挑
6,挓
6,挔
6,挕
6,挖
7,挨
7,挩
7,挪
7,挫
7,挬
7,挭
7,振
7,挲
7,挳
7,挴
7,挶
7,挸
7,挹
7,挺
7,挻
7,挼
7,挽
7,挾
7,捀
7,捁
7,捂
7,捃
7,捄
7,捅
7,捆
7,捇
7,捈
7,捉
7,捊
7,捋
7,捌
7,捍
7,捎
7,捏
7,捐
7,捑
7,捔
7,捕
7,捖
7,捗
7,捘
7,捙
7,捚
8,捥
8,捧
8,捨
8,捩
8,捫
8,捭
8,据
8,捯
8,捰
8,捱
8,捲
8,捵
8,捶
8,捷
8,捸
8,捺
8,捻
8,捼
8,捽
8,掀
8,掁
8,掂
8,掃
8,掄
8,掅
8,掇
8,授
8,掉
8,掊
8,掌
8,掍
8,掎
8,掏
8,掐
8,掑
8,排
8,掔
8,掖
8,掗
8,掘
8,掙
8,掛
8,掜
8,掝
8,掞
8,掟
8,掠
8,採
8,探
8,掣
8,掤
8,接
8,控
8,推
8,掩
8,措
8,掫
8,掬
8,掭
8,掮
8,掯
8,掰
8,掱
8,掽
9,掾
9,揀
9,揂
9,揃
9,揄
9,揆
9,揇
9,揈
9,揉
9,揊
9,揋
9,揌
9,揍
9,揎
9,描
9,提
9,插
9,揓
9,揕
9,揖
9,揗
9,揘
9,揙
9,揚
9,換
9,揜
9,揝
9,揟
9,揠
9,握
9,揣
9,揤
9,揥
9,揧
9,揨
9,揩
9,揪
9,揫
9,揭
9,揮
9,揯
9,揰
9,揱
9,揲
9,揳
9,援
9,揵
9,揶
9,揹
9,揼
9,搜
10,搆
10,搉
10,搊
10,搋
10,搌
10,損
10,搎
10,搏
10,搐
10,搒
10,搓
10,搔
10,搕
10,搖
10,搗
10,搘
10,搚
10,搛
10,搞
10,搟
10,搠
10,搡
10,搢
10,搣
10,搤
10,搥
10,搦
10,搧
10,搨
10,搪
10,搫
10,搬
10,搭
10,搮
10,搯
10,搰
10,搳
10,搴
10,搵
10,搶
10,搷
10,搹
10,搽
10,搾
10,搿
10,摀
10,摁
10,摃
11,揅
11,摋
11,摍
11,摎
11,摐
11,摑
11,摒
11,摓
11,摔
11,摘
11,摙
11,摛
11,摜
11,摝
11,摞
11,摟
11,摠
11,摡
11,摥
11,摦
11,摧
11,摨
11,摩
11,摫
11,摬
11,摭
11,摮
11,摯
11,摰
11,摲
11,摳
11,摴
11,摵
11,摶
11,摷
11,摸
11,摹
11,摺
11,摻
11,摽
11,摿
11,撂
12,撅
12,撇
12,撈
12,撉
12,撊
12,撋
12,撌
12,撏
12,撐
12,撒
12,撓
12,撕
12,撖
12,撗
12,撘
12,撙
12,撚
12,撜
12,撝
12,撞
12,撟
12,撠
12,撢
12,撣
12,撤
12,撥
12,撦
12,撩
12,撫
12,撬
12,播
12,撮
12,撰
12,撱
12,撲
12,撳
13,撻
13,撼
13,撽
13,撾
13,撿
13,擁
13,擂
13,擃
13,擄
13,擅
13,擇
13,擉
13,擊
13,擋
13,操
13,擎
13,擏
13,擐
13,擒
13,擔
13,擖
13,擗
13,擘
13,擙
13,據
13,擛
14,擠
14,擢
14,擣
14,擤
14,擦
14,擨
14,擩
14,擫
14,擬
14,擭
14,擯
14,擰
14,擱
15,擲
15,擳
15,擴
15,擷
15,擸
15,擺
15,擻
15,擼
15,擽
15,擾
15,擿
15,攀
15,攁
15,攃
15,攄
15,攆
16,攇
16,攉
16,攌
16,攍
16,攎
16,攏
16,攐
17,攓
17,攔
17,攕
17,攖
17,攗
17,攘
17,攙
18,攛
18,攜
18,攝
19,攠
19,攡
19,攢
19,攣
19,攤
19,攦
20,攥
20,攩
20,攪
20,攫
21,攬
21,攭
22,攮
