筆畫數,漢字
0,火
2,灰
2,灱
3,灴
3,灶
3,灸
3,灺
3,灼
3,災
3,灾
4,炂
4,炃
4,炄
4,炅
4,炆
4,炊
4,炎
4,炑
4,炒
4,炓
4,炔
4,炕
4,炖
4,炘
4,炙
4,炚
5,炟
5,炡
5,炤
5,炩
5,炫
5,炬
5,炭
5,炮
5,炯
5,炰
5,炱
5,炳
5,炴
5,炵
5,炷
5,炸
5,為
5,炾
6,烅
6,烆
6,烇
6,烈
6,烊
6,烋
6,烍
6,烎
6,烏
6,烑
6,烒
6,烓
6,烔
6,烗
6,烘
6,烙
6,烚
6,烜
6,烝
6,烞
6,烠
6,烡
6,烢
6,烤
7,烯
7,烰
7,烳
7,烴
7,烶
7,烷
7,烸
7,烹
7,烺
7,烻
7,烼
7,烽
7,烿
7,焀
7,焂
7,焄
7,焆
7,焉
7,焊
7,焋
7,焌
7,焍
7,焎
7,焐
7,焓
7,焗
8,焙
8,焚
8,焛
8,焜
8,焞
8,焟
8,焠
8,無
8,焢
8,焣
8,焥
8,焦
8,焨
8,焮
8,焯
8,焰
8,焱
8,焲
8,然
8,焺
8,煮
9,煁
9,煂
9,煃
9,煄
9,煆
9,煇
9,煉
9,煋
9,煌
9,煍
9,煎
9,煐
9,煒
9,煓
9,煔
9,煖
9,煘
9,煙
9,煚
9,煜
9,煝
9,煞
9,煟
9,煠
9,煡
9,煢
9,煣
9,煤
9,煥
9,煦
9,照
9,煨
9,煩
9,煪
9,煬
9,煰
9,煲
9,煸
10,煻
10,煽
10,熀
10,熁
10,熂
10,熄
10,熅
10,熆
10,熇
10,熉
10,熊
10,熏
10,熐
10,熒
10,熔
10,熗
10,熙
11,熚
11,熛
11,熜
11,熝
11,熞
11,熟
11,熠
11,熡
11,熤
11,熥
11,熧
11,熨
11,熩
11,熪
11,熬
11,熯
11,熰
11,熱
11,熲
11,熳
11,熵
12,𤎩
12,熸
12,熹
12,熼
12,熽
12,熾
12,熿
12,燀
12,燁
12,燂
12,燃
12,燄
12,燅
12,燆
12,燇
12,燈
12,燉
12,燊
12,燋
12,燎
12,燏
12,燐
12,燒
12,燔
12,燕
12,燖
12,燘
12,燙
12,燚
12,燛
12,燜
13,𤏻
13,營
13,燠
13,燡
13,燢
13,燤
13,燥
13,燦
13,燧
13,燨
13,燬
13,燭
13,燮
13,燰
13,燱
13,燲
13,燴
14,燸
14,燹
14,燻
14,燼
14,燽
14,燾
14,燿
14,爁
14,爂
14,爃
15,爅
15,爆
15,爇
15,爊
15,爌
15,爍
16,爐
16,爓
16,爔
17,爙
17,爚
17,爛
18,爝
18,爞
18,爟
19,爢
20,爣
21,爦
24,爧
25,爨
29,爩
