筆畫數,漢字
0,辵
3,辿
3,迂
3,迄
3,迅
3,迆
3,迉
4,迋
4,迍
4,迎
4,近
4,迒
4,迓
4,返
4,迕
4,迖
4,迗
5,迠
5,迡
5,迢
5,迣
5,迤
5,迥
5,迦
5,迨
5,迪
5,迫
5,迭
5,迮
5,述
6,迴
6,迵
6,迶
6,迷
6,迹
6,迺
6,迻
6,迼
6,追
6,迾
6,迿
6,退
6,送
6,适
6,逃
6,逄
6,逅
6,逆
7,逋
7,逌
7,逍
7,透
7,逐
7,逑
7,途
7,逕
7,逖
7,逗
7,這
7,通
7,逛
7,逜
7,逝
7,逞
7,速
7,造
7,逡
7,逢
7,連
7,逤
8,迸
8,逭
8,逮
8,逯
8,週
8,進
8,逴
8,逵
8,逶
8,逸
9,逼
9,逽
9,逾
9,逿
9,遁
9,遂
9,遄
9,遇
9,遉
9,遊
9,運
9,遍
9,過
9,遏
9,遐
9,遑
9,遒
9,道
9,達
9,違
10,遘
10,遙
10,遛
10,遜
10,遝
10,遞
10,遠
10,遢
10,遣
11,䢦
11,遧
11,遨
11,適
11,遫
11,遭
11,遮
11,遯
11,遰
11,遳
12,遲
12,遴
12,遵
12,遶
12,遷
12,選
12,遹
12,遺
12,遻
12,遼
12,邆
13,遽
13,遾
13,避
13,邀
13,邁
13,邂
13,邃
13,還
13,邅
14,邇
14,邈
15,邊
15,邋
16,邍
19,邏
19,邐
