筆畫數,漢字
0,車
1,軋
2,軌
2,軍
3,軏
3,軑
3,軒
3,軓
3,軔
4,軗
4,軘
4,軛
4,軜
4,軝
4,軞
4,軟
4,軠
4,軡
5,軥
5,軦
5,軧
5,軨
5,軩
5,軫
5,軬
5,軮
5,軯
5,軱
5,軴
5,軵
5,軶
5,軷
5,軸
5,軹
5,軺
5,軻
5,軼
6,軾
6,軿
6,輀
6,輁
6,輂
6,較
6,輅
6,輆
6,輇
6,輈
6,載
6,輊
6,輋
7,輍
7,輎
7,輐
7,輑
7,輒
7,輓
7,輔
7,輕
8,輖
8,輗
8,輘
8,輚
8,輛
8,輜
8,輝
8,輞
8,輟
8,輠
8,輣
8,輤
8,輥
8,輩
8,輪
8,輬
9,輮
9,輯
9,輲
9,輳
9,輴
9,輵
9,輶
9,輷
9,輸
9,輹
9,輻
10,輾
10,輿
10,轀
10,轂
10,轃
10,轄
10,轅
11,轆
11,轇
11,轈
11,轉
11,轋
12,轍
12,轎
12,轏
12,轐
12,轑
12,轒
12,轓
12,轔
13,轕
13,轖
13,轗
13,轘
13,轙
13,轚
14,轛
14,轝
14,轞
14,轟
15,轠
15,轡
15,轢
16,轣
16,轤
