筆畫數,漢字
0,言
2,訂
2,訃
2,訄
2,訇
2,計
3,訊
3,訌
3,討
3,訏
3,訐
3,訑
3,訒
3,訓
3,訕
3,訖
3,託
3,記
4,訛
4,訝
4,訞
4,訟
4,訢
4,訣
4,訥
4,訧
4,訪
4,訬
4,設
4,訰
4,許
5,訴
5,訶
5,訹
5,診
5,註
5,証
5,訾
5,訿
5,詀
5,詁
5,詄
5,詅
5,詆
5,詈
5,詊
5,詌
5,詍
5,詎
5,詏
5,詐
5,詑
5,詒
5,詔
5,評
5,詖
5,詗
5,詘
5,詙
5,詛
5,詞
5,詠
6,詡
6,詢
6,詣
6,試
6,詨
6,詩
6,詫
6,詬
6,詭
6,詮
6,詰
6,話
6,該
6,詳
6,詴
6,詵
6,詶
6,詷
6,詹
6,詺
6,詻
6,詼
6,詿
6,誁
6,誂
6,誃
6,誄
6,誅
6,誆
6,誇
7,誋
7,誌
7,認
7,誏
7,誑
7,誒
7,誓
7,誕
7,誖
7,誘
7,誙
7,誚
7,語
7,誠
7,誡
7,誣
7,誤
7,誥
7,誦
7,誧
7,誨
7,誩
7,說
7,誫
7,説
8,誰
8,課
8,誶
8,誸
8,誹
8,誺
8,誻
8,誼
8,誽
8,誾
8,調
8,諀
8,諂
8,諃
8,諄
8,諅
8,諆
8,談
8,諈
8,諉
8,請
8,諍
8,諏
8,諑
8,諒
8,諓
8,諔
8,諕
8,論
8,諗
8,諘
8,諙
8,諸
9,諛
9,諜
9,諝
9,諞
9,諟
9,諠
9,諡
9,諢
9,諤
9,諦
9,諧
9,諨
9,諫
9,諭
9,諮
9,諯
9,諰
9,諱
9,諲
9,諳
9,諴
9,諵
9,諶
9,諷
9,諺
9,諻
9,諼
9,諾
9,諿
9,謀
9,謁
9,謂
10,謄
10,謅
10,謆
10,謇
10,謈
10,謊
10,謋
10,謍
10,謎
10,謏
10,謐
10,謑
10,謒
10,謓
10,謔
10,謕
10,謖
10,謗
10,謘
10,謙
10,謚
10,講
10,謜
10,謝
10,謞
10,謠
10,謢
11,謣
11,謤
11,謥
11,謦
11,謧
11,謨
11,謪
11,謫
11,謬
11,謮
11,謯
11,謰
11,謱
11,謳
11,謵
11,謶
11,謷
11,謹
11,謺
11,謻
11,謼
11,謽
11,謾
12,䜌
12,譀
12,譁
12,譂
12,譅
12,譆
12,譇
12,譈
12,證
12,譊
12,譋
12,譎
12,譏
12,譐
12,譑
12,譒
12,譓
12,譔
12,譕
12,譖
12,譗
12,識
12,譙
12,譚
12,譜
13,譝
13,譟
13,譠
13,譣
13,譥
13,警
13,譧
13,譨
13,譪
13,譫
13,譬
13,譭
13,譯
13,議
14,譴
14,護
14,譸
14,譹
14,譺
14,譻
14,譽
15,譾
15,譿
15,讀
15,讂
15,讄
15,讅
16,讆
16,讈
16,變
16,讋
16,讌
16,讎
17,讒
17,讓
17,讔
17,讕
17,讖
18,讘
18,讙
19,讚
20,讜
20,讞
22,讟
