筆畫數,漢字
0,木
1,未
1,末
1,本
1,札
1,朮
2,朱
2,朳
2,朴
2,朵
2,朸
2,朹
2,机
2,朻
2,朼
2,朽
2,朾
2,朿
3,杅
3,杆
3,杇
3,杈
3,杉
3,杋
3,杌
3,杍
3,李
3,杏
3,材
3,村
3,杓
3,杕
3,杖
3,杗
3,杙
3,杚
3,杜
3,杝
3,杞
3,束
3,杠
3,极
4,杪
4,杬
4,杭
4,杯
4,杰
4,東
4,杲
4,杳
4,杴
4,杵
4,杶
4,杷
4,杸
4,杹
4,杺
4,杻
4,杼
4,杽
4,松
4,板
4,枃
4,构
4,枅
4,枆
4,枇
4,枉
4,枋
4,枌
4,枍
4,枎
4,枏
4,析
4,枑
4,枒
4,枓
4,枔
4,枕
4,林
4,枘
4,枙
4,枚
4,果
4,枝
4,枟
5,枮
5,枯
5,枰
5,枲
5,枳
5,枴
5,枵
5,架
5,枷
5,枸
5,枹
5,枺
5,枻
5,枼
5,柀
5,柁
5,柂
5,柃
5,柄
5,柅
5,柆
5,柈
5,柉
5,柊
5,柋
5,柌
5,柍
5,柎
5,柏
5,某
5,柑
5,柒
5,染
5,柔
5,柘
5,柙
5,柚
5,柛
5,柜
5,柝
5,柞
5,柟
5,柢
5,柣
5,柤
5,查
5,柦
5,柧
5,柩
5,柪
5,柫
5,柬
5,柭
5,柮
5,柯
5,柰
5,柱
5,柲
5,柳
5,柴
5,柵
5,柶
5,柷
5,柸
5,柺
5,柼
5,柿
6,栒
6,栓
6,栔
6,栖
6,栗
6,栘
6,栚
6,栜
6,栝
6,栟
6,栠
6,校
6,栥
6,栦
6,栨
6,栩
6,株
6,栫
6,栭
6,栮
6,栯
6,栱
6,栲
6,栳
6,栴
6,栵
6,核
6,根
6,栺
6,栻
6,格
6,栽
6,桀
6,桁
6,桂
6,桃
6,桄
6,桅
6,框
6,案
6,桉
6,桋
6,桌
6,桍
6,桎
6,桏
6,桐
6,桑
6,桓
6,桔
7,桫
7,桭
7,桮
7,桯
7,桱
7,桲
7,桴
7,桵
7,桶
7,桷
7,桸
7,桹
7,桻
7,桼
7,桽
7,桾
7,桿
7,梀
7,梁
7,梂
7,梃
7,梅
7,梆
7,梇
7,梉
7,梊
7,梋
7,梌
7,梏
7,梐
7,梑
7,梒
7,梓
7,梔
7,梖
7,梗
7,梛
7,梜
7,條
7,梟
7,梠
7,梡
7,梢
7,梣
7,梤
7,梧
7,梨
7,梩
7,梪
7,梫
7,梬
7,梭
7,梮
7,梯
7,械
7,梱
7,梲
7,梳
7,梴
7,梵
8,棄
8,棆
8,棇
8,棈
8,棉
8,棋
8,棌
8,棍
8,棎
8,棐
8,棑
8,棒
8,棓
