筆畫數,漢字
0,犬
1,犮
2,犯
2,犰
3,犴
3,犵
4,犺
4,犽
4,犿
4,狀
4,狁
4,狂
4,狃
4,狄
4,狅
4,狆
5,狉
5,狊
5,狋
5,狌
5,狎
5,狐
5,狑
5,狒
5,狔
5,狖
5,狗
5,狘
5,狙
5,狚
5,狜
6,狟
6,狠
6,狡
6,狣
6,狤
6,狦
6,狨
6,狩
6,狪
6,狫
7,狳
7,狴
7,狶
7,狷
7,狸
7,狹
7,狺
7,狻
7,狼
7,狽
7,狾
7,狿
7,猀
7,猁
8,猇
8,猈
8,猊
8,猋
8,猌
8,猏
8,猑
8,猒
8,猓
8,猖
8,猗
8,猘
8,猙
8,猛
8,猜
8,猝
8,猞
9,猢
9,猣
9,猥
9,猦
9,猧
9,猨
9,猩
9,猭
9,猰
9,猱
9,猲
9,猳
9,猴
9,猵
9,猶
9,猷
10,猺
10,猻
10,猼
10,猾
10,猿
10,獀
10,獂
10,獃
10,獄
10,獅
10,獉
10,獊
11,獌
11,獍
11,獎
11,獐
11,獑
11,獒
12,獗
12,獘
12,獙
12,獚
12,獛
12,獝
12,獞
12,獟
12,獠
12,獡
12,獢
13,獥
13,獦
13,獧
13,獨
13,獩
13,獪
13,獫
13,獬
14,獮
14,獯
14,獰
14,獲
14,獳
15,獵
15,獶
15,獷
15,獸
16,獹
16,獺
16,獻
17,獼
17,獽
18,獾
18,獿
19,玀
20,玁
20,玂
20,玃
