筆畫數,漢字
0,人
1,亼
2,什
2,仁
2,仂
2,仃
2,仄
2,仅
2,仆
2,仇
2,仈
2,仉
2,今
2,介
2,仍
2,从
3,㐱
3,仔
3,仕
3,他
3,仗
3,付
3,仙
3,仚
3,仜
3,仝
3,仞
3,仟
3,仡
3,代
3,令
3,以
3,仨
3,仩
4,仰
4,仱
4,仲
4,仳
4,仴
4,仵
4,件
4,价
4,任
4,份
4,仿
4,伀
4,企
4,伂
4,伄
4,伅
4,伈
4,伉
4,伊
4,伋
4,伍
4,伎
4,伏
4,伐
4,休
4,伒
4,伓
4,伔
4,伕
4,优
4,伙
4,伝
4,伢
4,伬
5,伭
5,伯
5,估
5,伳
5,伴
5,伶
5,伸
5,伺
5,伻
5,似
5,伽
5,伾
5,伿
5,佁
5,佃
5,但
5,佇
5,佈
5,佉
5,佌
5,位
5,低
5,住
5,佐
5,佑
5,佒
5,体
5,佔
5,何
5,佖
5,佗
5,佘
5,余
5,佚
5,佛
5,作
5,佝
5,佞
5,佟
5,你
5,佡
5,佢
5,佣
5,佤
5,佧
6,佩
6,佪
6,佫
6,佬
6,佮
6,佯
6,佰
6,佳
6,佴
6,併
6,佶
6,佷
6,佸
6,佹
6,佺
6,佻
6,佼
6,佽
6,佾
6,使
6,侀
6,侁
6,侂
6,侃
6,侄
6,侅
6,來
6,侇
6,侈
6,侉
6,例
6,侍
6,侏
6,侐
6,侑
6,侒
6,侔
6,侕
6,侖
6,侗
6,侘
6,侚
6,供
6,侜
6,依
6,侞
7,侮
7,侯
7,侲
7,侳
7,侵
7,侶
7,侷
7,侹
7,侺
7,侻
7,便
7,俀
7,俁
7,係
7,促
7,俄
7,俅
7,俇
7,俉
7,俊
7,俋
7,俍
7,俎
7,俏
7,俐
7,俑
7,俓
7,俔
7,俖
7,俗
7,俘
7,俙
7,俚
7,俛
7,俜
7,保
7,俞
7,俟
7,俠
7,信
7,俬
8,修
8,俯
8,俱
8,俳
8,俴
8,俵
8,俶
8,俷
8,俸
8,俺
8,俾
8,倀
8,倅
8,倆
8,倇
8,倉
8,個
8,倌
8,倍
8,倎
8,倏
8,們
8,倒
8,倓
8,倔
8,倕
8,倖
8,倗
8,倘
8,候
8,倚
8,倛
8,倜
8,倝
8,倞
8,借
8,倠
8,倡
8,倢
8,倣
8,倥
8,倦
8,倧
8,倨
8,倩
8,倪
8,倫
8,倬
8,倭
8,倯
8,倰
8,倱
8,倳
8,倵
8,倷
8,值
9,偀
9,偁
9,偃
9,偅
9,偆
9,假
9,偈
9,偉
9,偊
9,偋
9,偌
9,偍
9,偎
9,偏
9,偑
9,偓
9,偕
9,偗
9,做
9,偛
9,停
9,偝
9,偞
9,偟
9,偠
9,偡
9,偢
9,偣
9,偤
9,健
9,偨
9,偩
9,偪
9,偫
9,偭
9,偮
9,偯
9,偰
9,偲
9,偳
9,側
9,偵
9,偶
9,偷
9,偺
9,偽
10,傀
10,傂
10,傃
10,傅
10,傇
10,傋
10,傌
10,傍
10,傎
10,傑
10,傒
10,傔
10,傕
10,傖
10,傘
10,備
10,傚
10,傛
10,傜
10,傝
10,傞
10,傢
10,傣
11,催
11,傭
11,傮
11,傯
11,傰
11,傱
11,傲
11,傳
11,傴
11,債
11,傶
11,傷
11,傸
11,傺
11,傻
11,傽
11,傾
11,傿
11,僁
11,僂
11,僄
11,僅
11,僆
11,僇
11,僈
11,僉
11,僊
11,僋
12,僎
12,像
12,僑
12,僓
12,僔
12,僕
12,僖
12,僗
12,僚
12,僛
12,僝
12,僠
12,僣
12,僤
12,僥
12,僦
12,僧
12,僨
12,僩
12,僪
12,僬
12,僭
12,僮
12,僯
12,僰
12,僱
12,僳
13,僵
13,僶
13,僸
13,價
13,僻
13,僽
13,僾
13,僿
13,儀
13,儂
13,儃
13,億
13,儅
13,儆
13,儇
13,儈
13,儉
13,儊
13,儋
13,儌
14,儐
14,儑
14,儒
14,儓
14,儔
14,儕
14,儗
14,儘
14,儚
14,儜
15,償
15,儠
15,儡
15,儢
15,儤
15,儥
15,儦
15,儩
15,優
16,儭
16,儮
16,儰
16,儱
16,儲
17,儳
17,儴
17,儵
19,儷
19,儸
19,儹
19,儺
20,儻
20,儼
21,儽
