筆畫數,漢字
0,目
2,盯
3,盰
3,盱
3,盲
3,盳
3,直
3,盵
4,盷
4,相
4,盹
4,盺
4,盻
4,盼
4,盾
4,省
4,眃
4,眄
4,眅
4,眇
4,眈
4,眉
4,眊
4,看
5,眐
5,眑
5,眒
5,眓
5,眔
5,眕
5,眙
5,眚
5,眛
5,眝
5,真
5,眠
5,眢
5,眣
5,眥
5,眧
5,眨
5,眩
6,眭
6,眯
6,眱
6,眲
6,眳
6,眴
6,眵
6,眶
6,眷
6,眸
6,眹
6,眺
6,眻
6,眼
6,眽
6,眾
7,睄
7,睅
7,睆
7,睇
7,睊
7,睋
7,睌
7,睍
7,睎
7,睏
8,睒
8,睔
8,睕
8,睖
8,睘
8,睙
8,睚
8,睛
8,睜
8,睞
8,睟
8,睠
8,睡
8,睢
8,督
8,睥
8,睦
8,睧
8,睨
8,睩
8,睪
8,睫
8,睬
8,睭
9,睮
9,睯
9,睹
9,睼
9,睾
9,睿
9,瞀
9,瞁
9,瞂
9,瞃
9,瞄
9,瞅
10,瞇
10,瞈
10,瞉
10,瞋
10,瞌
10,瞍
10,瞎
10,瞏
10,瞑
11,瞕
11,瞗
11,瞙
11,瞚
11,瞛
11,瞜
11,瞝
11,瞞
11,瞟
11,瞠
11,瞡
11,瞢
11,瞣
12,瞥
12,瞧
12,瞨
12,瞪
12,瞫
12,瞬
12,瞭
12,瞰
12,瞱
12,瞲
12,瞳
12,瞴
12,瞵
12,瞶
12,瞷
13,瞺
13,瞻
13,瞼
13,瞽
13,瞿
13,矂
14,矄
14,矇
14,矉
14,矊
15,矌
15,矍
15,矎
15,矏
16,矐
16,矓
18,矔
19,矕
19,矗
20,矘
20,矙
21,矚
