筆畫數,漢字
0,石
3,矷
3,矸
3,矹
3,矺
3,矻
3,矼
3,矽
4,砂
4,砃
4,砅
4,砆
4,砉
4,砌
4,砍
4,砎
4,砏
4,砐
4,砑
4,砒
4,砓
5,砝
5,砟
5,砠
5,砡
5,砢
5,砣
5,砥
5,砦
5,砧
5,砨
5,砩
5,砪
5,砫
5,砬
5,砭
5,砮
5,砯
5,砰
5,砱
5,砲
5,砳
5,破
5,砵
5,砷
5,砸
6,研
6,硃
6,硅
6,硈
6,硉
6,硊
6,硌
6,硍
6,硎
6,硐
6,硒
7,硜
7,硝
7,硞
7,硠
7,硢
7,硤
7,硥
7,硨
7,硩
7,硪
7,硫
7,硬
7,硭
7,确
7,硯
7,硰
7,硱
8,硹
8,硻
8,硼
8,硿
8,碀
8,碁
8,碃
8,碄
8,碅
8,碆
8,碇
8,碉
8,碌
8,碎
8,碏
8,碑
8,碓
8,碔
8,碕
8,碖
8,碗
8,碘
8,碙
8,碚
8,碰
9,硾
9,碞
9,碟
9,碠
9,碡
9,碢
9,碣
9,碤
9,碥
9,碧
9,碨
9,碩
9,碪
9,碫
9,碬
9,碭
9,碲
9,碳
9,碴
10,確
10,碻
10,碼
10,碾
10,磁
10,磃
10,磄
10,磅
10,磈
10,磉
10,磊
10,磋
10,磌
10,磍
10,磎
10,磏
10,磐
10,磑
10,磔
10,磕
11,磚
11,磛
11,磝
11,磞
11,磟
11,磠
11,磡
11,磢
11,磣
11,磥
11,磧
11,磨
11,磩
11,磪
11,磬
11,磭
12,磯
12,磲
12,磳
12,磴
12,磷
12,磹
12,磺
12,磻
12,磼
12,磽
12,磾
12,磿
12,礁
12,礂
12,礄
12,礅
13,礉
13,礌
13,礎
13,礐
13,礑
13,礒
13,礓
13,礔
14,礗
14,礙
14,礛
14,礜
14,礝
14,礞
14,礡
15,礣
15,礤
15,礥
15,礦
15,礧
15,礨
15,礩
15,礪
15,礫
15,礬
16,礭
16,礯
16,礱
16,礴
17,礵
19,礸
20,礹
