筆畫數,漢字
0,足
2,趴
3,趵
3,趶
3,趷
4,趹
4,趺
4,趾
4,趿
4,跁
4,跂
5,跅
5,跆
5,跇
5,跈
5,跋
5,跌
5,跍
5,跎
5,跏
5,跐
5,跑
5,跓
5,跕
5,跖
5,跗
5,跘
5,跙
5,跚
5,跛
5,跜
5,距
6,趼
6,跟
6,跠
6,跡
6,跢
6,跣
6,跤
6,跦
6,跧
6,跨
6,跩
6,跪
6,跫
6,跬
6,跮
6,路
6,跰
6,跱
6,跲
6,跳
6,跴
6,跺
7,跼
7,跽
7,跾
7,跿
7,踀
7,踂
7,踃
7,踄
7,踅
7,踆
7,踇
7,踉
7,踊
7,踍
8,踏
8,踐
8,踑
8,踒
8,踓
8,踔
8,踕
8,踖
8,踗
8,踘
8,踙
8,踚
8,踛
8,踜
8,踝
8,踞
8,踟
8,踠
8,踡
8,踢
8,踣
8,踤
8,踥
8,踦
8,踧
8,踩
8,踮
9,踫
9,踰
9,踱
9,踳
9,踴
9,踵
9,踶
9,踸
9,踹
9,踼
9,踽
9,踾
9,踿
9,蹀
9,蹁
9,蹂
9,蹄
9,蹅
10,蹇
10,蹈
10,蹉
10,蹊
10,蹋
10,蹌
10,蹍
10,蹎
10,蹐
10,蹓
11,蹔
11,蹕
11,蹖
11,蹗
11,蹙
11,蹚
11,蹛
11,蹜
11,蹝
11,蹞
11,蹟
11,蹠
11,蹡
11,蹢
11,蹣
11,蹤
11,蹥
11,蹦
11,蹧
12,蹩
12,蹪
12,蹬
12,蹭
12,蹯
12,蹲
12,蹳
12,蹴
12,蹶
12,蹸
12,蹺
12,蹻
12,蹼
13,躁
13,躂
13,躄
13,躅
13,躆
13,躇
13,躈
13,躉
14,躊
14,躋
14,躌
14,躍
14,躎
15,躐
15,躑
15,躒
15,躓
15,躔
15,躕
15,躖
16,躗
16,躘
16,躚
17,躝
17,躞
17,躟
17,躠
18,躡
18,躣
18,躤
18,躥
19,躦
20,躩
20,躪
22,躨
