筆畫數,漢字
0,心
1,必
2,忉
3,忌
3,忍
3,忏
3,忐
3,忑
3,忒
3,忔
3,忕
3,忖
3,志
3,忘
3,忙
4,忝
4,忞
4,忠
4,忡
4,忣
4,忤
4,忥
4,忨
4,忪
4,快
4,忭
4,忮
4,忯
4,忱
4,忳
4,忴
4,念
4,忷
4,忸
4,忺
4,忻
4,忽
4,忿
4,怀
5,怉
5,怊
5,怋
5,怌
5,怍
5,怎
5,怏
5,怐
5,怑
5,怒
5,怓
5,怔
5,怕
5,怖
5,怗
5,怙
5,怚
5,怛
5,怜
5,思
5,怞
5,怠
5,怡
5,怢
5,怤
5,急
5,怦
5,性
5,怨
5,怩
5,怪
5,怫
5,怬
5,怭
5,怮
5,怯
5,怲
5,怳
5,怴
5,怵
5,怷
5,怹
6,恀
6,恁
6,恂
6,恃
6,恄
6,恅
6,恆
6,恇
6,恉
6,恌
6,恍
6,恐
6,恒
6,恓
6,恔
6,恕
6,恖
6,恘
6,恙
6,恚
6,恛
6,恝
6,恞
6,恟
6,恢
6,恣
6,恤
6,恥
6,恦
6,恧
6,恨
6,恩
6,恪
6,恫
6,恬
6,恭
6,恮
6,息
6,恰
6,恲
7,恿
7,悀
7,悁
7,悃
7,悄
7,悅
7,悆
7,悇
7,悈
7,悉
7,悊
7,悌
7,悍
7,悎
7,悐
7,悒
7,悔
7,悕
7,悖
7,悗
7,悚
7,悛
7,悜
7,悝
7,悟
7,悠
7,悢
7,患
7,悤
7,您
8,悰
8,悱
8,悲
8,悴
8,悵
8,悶
8,悷
8,悸
8,悹
8,悺
8,悻
8,悼
8,悽
8,悾
8,悿
8,惀
8,惁
8,惃
8,惄
8,情
8,惆
8,惇
8,惈
8,惉
8,惊
8,惋
8,惌
8,惍
8,惎
8,惏
8,惑
8,惓
8,惔
8,惕
8,惘
8,惙
8,惚
8,惛
8,惜
8,惝
8,惟
8,惠
8,惡
8,惢
8,惤
8,惦
8,惪
9,𢝊
9,惰
9,惱
9,惲
9,想
9,惴
9,惵
9,惶
9,惷
9,惸
9,惹
9,惺
9,惻
9,惼
9,惾
9,惿
9,愀
9,愁
9,愃
9,愄
9,愅
9,愆
9,愈
9,愉
9,愊
9,愋
9,愍
9,愎
9,意
9,愐
9,愒
9,愓
9,愔
9,愕
9,愖
9,愘
9,愚
9,愛
9,愜
9,愝
9,感
9,愣
9,慨
10,愧
10,愨
10,愩
10,愫
10,愬
10,愮
10,愯
10,愲
10,愴
10,愶
10,愷
10,愻
10,愾
10,愿
10,慀
10,慁
10,慄
10,慅
10,慆
10,慇
10,慈
10,慉
10,慊
10,態
10,慌
10,慍
10,慎
10,慏
11,慒
11,慓
11,慔
11,慕
11,慖
11,慘
11,慚
11,慛
11,慝
11,慞
11,慟
11,慡
11,慢
11,慣
11,慥
11,慦
11,慧
11,慪
11,慫
11,慬
11,慮
11,慰
11,慱
11,慲
11,慳
11,慴
11,慵
11,慶
11,慷
11,慹
11,慺
11,慼
11,慾
11,憀
11,憂
11,憃
12,憉
12,憊
12,憋
12,憌
12,憍
12,憎
12,憐
12,憑
12,憒
12,憓
12,憔
12,憖
12,憚
12,憛
12,憝
12,憟
12,憡
12,憢
12,憤
12,憧
12,憨
12,憩
12,憪
12,憫
12,憬
12,憭
12,憮
12,憯
12,憰
12,憱
12,憲
12,憳
13,憴
13,憵
13,憶
13,憸
13,憺
13,憼
13,憾
13,憿
13,懁
13,懂
13,懃
13,懅
13,懆
13,懇
13,懈
13,應
13,懊
13,懋
13,懌
13,懍
14,懖
14,懘
14,懞
14,懟
14,懠
14,懣
14,懤
14,懥
14,懦
14,懧
14,懨
15,懩
15,懪
15,懫
15,懭
15,懮
15,懰
15,懱
15,懲
16,懵
16,懶
16,懷
16,懸
17,懹
17,懺
17,懻
18,懼
18,懽
18,懾
18,懿
19,戀
19,戁
20,戃
20,戄
24,戇
