筆畫數,漢字
0,疒
2,疔
2,疕
3,疘
3,疙
3,疚
3,疝
4,疢
4,疣
4,疤
4,疥
4,疧
4,疪
4,疫
4,疺
5,疰
5,疲
5,疳
5,疵
5,疶
5,疸
5,疹
5,疻
5,疼
5,疽
5,疾
5,疿
5,痀
5,痁
5,痂
5,痄
5,病
5,症
6,痊
6,痋
6,痌
6,痍
6,痎
6,痏
6,痐
6,痑
6,痒
6,痔
6,痕
7,痗
7,痘
7,痙
7,痚
7,痛
7,痝
7,痞
7,痟
7,痠
7,痡
7,痢
7,痣
7,痤
7,痦
7,痧
8,痭
8,痯
8,痰
8,痱
8,痲
8,痳
8,痴
8,痵
8,痶
8,痷
8,痸
8,痹
8,痺
8,痻
8,痼
8,痽
8,痾
8,痿
8,瘀
8,瘁
8,瘃
9,瘈
9,瘉
9,瘊
9,瘋
9,瘌
9,瘍
9,瘏
9,瘐
9,瘑
9,瘓
9,瘔
9,瘕
9,瘖
10,瘙
10,瘚
10,瘛
10,瘜
10,瘝
10,瘞
10,瘟
10,瘠
10,瘡
10,瘢
10,瘣
10,瘤
10,瘥
10,瘦
10,瘧
10,瘨
10,瘩
11,瘭
11,瘯
11,瘰
11,瘱
11,瘲
11,瘳
11,瘴
11,瘵
11,瘸
11,瘺
11,瘼
11,瘽
12,療
12,癃
12,癆
12,癇
12,癈
12,癉
12,癌
13,癐
13,癒
13,癓
13,癖
13,癗
13,癘
13,癙
13,癚
13,癜
14,癟
14,癠
14,癡
15,癢
15,癤
15,癥
16,癩
16,癪
17,癬
17,癭
17,癮
18,癰
19,癱
19,癲
25,癵
