筆畫數,漢字
0,土
1,𡈼
1,圠
2,圢
2,圣
3,在
3,圩
3,圪
3,圬
3,圭
3,圮
3,圯
3,地
3,圳
3,圴
4,圻
4,圾
4,址
4,坁
4,坅
4,均
4,坉
4,坊
4,坋
4,坌
4,坍
4,坎
4,坏
4,坐
4,坑
4,坒
5,𡊄
5,坡
5,坢
5,坤
5,坦
5,坨
5,坩
5,坪
5,坫
5,坭
5,坯
5,坰
5,坱
5,坲
5,坳
5,坴
5,坵
5,坶
5,坷
5,坻
5,坼
5,坽
5,垀
5,垂
5,垃
6,型
6,垌
6,垏
6,垓
6,垔
6,垕
6,垗
6,垘
6,垙
6,垚
6,垛
6,垝
6,垞
6,垟
6,垠
6,垢
6,垣
6,垤
6,垥
6,垮
6,垵
7,垶
7,垸
7,垹
7,垺
7,垼
7,垽
7,垿
7,埁
7,埂
7,埃
7,埆
7,埇
7,埋
7,埌
7,城
7,埏
7,埐
7,埒
7,埔
7,埕
7,埗
8,埜
8,域
8,埠
8,埡
8,埢
8,埣
8,埤
8,埥
8,埧
8,埩
8,埬
8,埭
8,埮
8,埰
8,埱
8,埲
8,埳
8,埴
8,埵
8,埶
8,執
8,埸
8,培
8,基
8,埻
8,埼
8,埽
8,堀
8,堁
8,堂
8,堄
8,堅
8,堆
8,堇
8,堈
8,堉
8,堊
8,堋
8,堌
8,堍
8,堎
8,堐
8,堔
9,堙
9,堛
9,堜
9,堝
9,堞
9,堠
9,堡
9,堣
9,堤
9,堥
9,堧
9,堨
9,堩
9,堪
9,堬
9,堭
9,堮
9,堯
9,堰
9,報
9,堲
9,堳
9,場
9,堵
9,堶
9,堷
9,堸
9,堹
9,堻
9,堽
9,堿
9,塈
10,塉
10,塊
10,塋
10,塌
10,塍
10,塎
10,塏
10,塑
10,塒
10,塓
10,塔
10,塕
10,塗
10,塘
10,塙
10,塚
10,塛
10,塝
10,塞
10,塢
10,塣
10,塤
10,塥
10,塨
10,填
10,塭
10,塯
10,塱
11,塴
11,塵
11,塶
11,塹
11,塺
11,塻
11,塼
11,塽
11,塾
11,塿
11,墀
11,墁
11,墂
11,境
11,墅
11,墆
11,墇
11,墈
11,墉
11,墊
11,墋
11,墎
11,墏
11,墐
11,墑
11,墓
11,墔
11,墘
12,墜
12,墝
12,增
12,墟
12,墠
12,墡
12,墣
12,墥
12,墦
12,墨
12,墩
12,墫
12,墬
12,墮
12,墯
12,墱
12,墳
13,墺
13,墻
13,墼
13,墽
13,墾
13,墿
13,壁
13,壂
13,壅
13,壆
13,壇
13,壈
13,壉
14,壎
14,壏
14,壑
14,壒
14,壓
14,壔
14,壕
14,壖
15,壘
15,壙
16,壚
16,壛
16,壝
16,壞
16,壟
16,壢
17,壣
17,壤
20,壧
20,壨
21,壩
