筆畫數,漢字
0,鳥
1,鳦
2,鳧
2,鳩
2,鳪
2,鳭
3,鳱
3,鳲
3,鳳
3,鳴
3,鳵
3,鳶
4,鳷
4,鳹
4,鳺
4,鳻
4,鳼
4,鳽
4,鳿
4,鴀
4,鴃
4,鴄
4,鴅
4,鴆
4,鴇
4,鴈
4,鴉
5,鴐
5,鴒
5,鴔
5,鴕
5,鴗
5,鴘
5,鴙
5,鴛
5,鴝
5,鴞
5,鴟
5,鴠
5,鴢
5,鴣
5,鴥
5,鴦
5,鴨
5,鴩
6,翵
6,鴭
6,鴮
6,鴯
6,鴰
6,鴱
6,鴳
6,鴶
6,鴷
6,鴸
6,鴻
6,鴽
6,鴾
6,鴿
6,鵀
6,鵁
6,鵂
6,鵃
6,鵅
7,鵊
7,鵋
7,鵌
7,鵏
7,鵑
7,鵒
7,鵓
7,鵔
7,鵖
7,鵗
7,鵘
7,鵙
7,鵚
7,鵛
7,鵜
7,鵝
7,鵟
7,鵠
7,鵡
8,鵧
8,鵨
8,鵩
8,鵪
8,鵫
8,鵬
8,鵯
8,鵰
8,鵱
8,鵲
8,鵳
8,鵴
8,鵵
8,鵷
8,鵸
8,鵹
8,鵻
8,鵽
8,鵿
8,鶀
8,鶁
8,鶂
8,鶄
8,鶅
8,鶆
8,鶇
8,鶈
8,鶉
8,鶊
8,鶋
8,鶌
9,鶐
9,鶒
9,鶔
9,鶖
9,鶗
9,鶘
9,鶙
9,鶚
9,鶛
9,鶜
9,鶝
9,鶞
9,鶟
9,鶠
9,鶡
9,鶢
9,鶣
9,鶤
9,鶦
9,鶧
9,鶨
9,鶩
9,鶪
10,鶬
10,鶭
10,鶯
10,鶱
10,鶲
10,鶳
10,鶴
10,鶵
10,鶶
10,鶷
10,鶸
10,鶹
10,鶺
10,鶻
10,鶼
10,鶾
10,鶿
10,鷁
10,鷂
10,鷃
10,鷅
10,鷇
10,鷈
10,鷊
10,鷌
10,鷍
10,鷎
10,鷏
11,鷋
11,鷐
11,鷑
11,鷒
11,鷓
11,鷕
11,鷖
11,鷗
11,鷘
11,鷙
11,鷚
11,鷛
11,鷜
11,鷝
11,鷞
11,鷟
12,鷡
12,鷢
12,鷣
12,鷤
12,鷥
12,鷦
12,鷨
12,鷩
12,鷫
12,鷬
12,鷭
12,鷮
12,鷯
12,鷰
12,鷲
12,鷳
12,鷴
12,鷵
12,鷶
12,鷷
12,鷸
12,鷺
12,鷻
13,鷹
13,鷽
13,鷾
13,鷿
13,鸀
13,鸁
13,鸂
13,鸃
13,鸄
13,鸅
13,鸆
13,鸇
13,鸉
14,鸋
14,鸍
14,鸏
14,鸐
14,鸑
14,鸒
15,鸓
15,鸔
16,鸕
16,鸗
17,鸙
17,鸚
18,鸛
19,鸝
19,鸞
