筆畫數,漢字
0,邑
3,邔
3,邕
3,邗
3,邘
3,邙
3,邛
4,𨙻
4,邞
4,邟
4,邠
4,邡
4,邢
4,那
4,邥
4,邦
4,邧
4,邪
5,邯
5,邰
5,邱
5,邲
5,邳
5,邴
5,邵
5,邶
5,邸
6,𨚵
6,邽
6,邾
6,邿
6,郁
6,郃
6,郄
6,郅
6,郇
6,郈
6,郊
6,郋
6,郎
7,郔
7,郕
7,郖
7,郗
7,郘
7,郙
7,郚
7,郛
7,郜
7,郝
7,郟
7,郠
7,郡
7,郢
7,郣
7,郤
7,郥
8,部
8,郩
8,郪
8,郫
8,郬
8,郭
8,郯
8,郰
8,郱
8,郲
8,郳
8,郴
8,郵
9,郹
9,郺
9,郻
9,郼
9,都
9,郾
9,郿
9,鄀
9,鄁
9,鄂
9,鄃
9,鄄
9,鄅
9,鄆
9,鄇
9,鄈
9,鄉
10,鄋
10,鄍
10,鄎
10,鄏
10,鄐
10,鄑
10,鄒
10,鄔
10,鄖
10,鄗
11,鄘
11,鄙
11,鄚
11,鄛
11,鄜
11,鄝
11,鄞
11,鄟
11,鄠
11,鄡
11,鄢
11,鄣
11,鄤
12,鄦
12,鄧
12,鄨
12,鄩
12,鄪
12,鄫
12,鄬
12,鄭
12,鄮
12,鄯
12,鄰
12,鄱
12,鄲
13,鄳
13,鄴
13,鄵
13,鄶
14,鄸
14,鄹
15,鄺
15,鄻
15,鄾
16,鄿
16,酀
17,酁
17,酃
18,酄
18,酅
18,酆
19,酇
19,酈
