筆畫數,漢字
0,艸
2,艼
2,艽
2,艾
2,艿
2,芀
3,芃
3,芄
3,芅
3,芊
3,芋
3,芍
3,芎
3,芏
3,芐
3,芑
3,芒
3,芓
3,芔
4,芘
4,芙
4,芚
4,芛
4,芝
4,芞
4,芟
4,芠
4,芡
4,芢
4,芣
4,芤
4,芥
4,芧
4,芨
4,芩
4,芫
4,芬
4,芭
4,芮
4,芯
4,芰
4,花
4,芳
4,芴
4,芵
4,芶
4,芷
4,芸
4,芹
4,芺
4,芻
4,芼
4,芽
4,芾
4,苀
4,苂
4,苃
5,苑
5,苒
5,苓
5,苔
5,苕
5,苖
5,苗
5,苙
5,苛
5,苜
5,苞
5,苟
5,苠
5,苡
5,苣
5,苤
5,若
5,苦
5,苧
5,苨
5,苪
5,苫
5,苬
5,苭
5,苯
5,苰
5,英
5,苲
5,苳
5,苴
5,苵
5,苶
5,苷
5,苹
5,苺
5,苻
5,苾
5,茀
5,茁
5,茂
5,范
5,茄
5,茅
5,茆
5,茇
5,茈
5,茉
5,茌
5,茍
6,茖
6,茗
6,茙
6,茛
6,茜
6,茞
6,茠
6,茢
6,茤
6,茥
6,茦
6,茧
6,茨
6,茩
6,茪
6,茫
6,茬
6,茭
6,茯
6,茱
6,茲
6,茳
6,茴
6,茵
6,茶
6,茷
6,茸
6,茹
6,茺
6,茻
6,茼
6,茿
6,荀
6,荁
6,荂
6,荃
6,荄
6,荅
6,荇
6,荈
6,草
6,荊
6,荋
6,荌
6,荍
6,荎
6,荏
6,荐
6,荑
6,荒
6,荔
6,荖
7,荳
7,荴
7,荵
7,荶
7,荷
7,荸
7,荺
7,荻
7,荼
7,荽
7,荾
7,荿
7,莁
7,莃
7,莆
7,莇
7,莈
7,莉
7,莊
7,莋
7,莌
7,莍
7,莎
7,莏
7,莐
7,莒
7,莓
7,莔
7,莕
7,莖
7,莗
7,莘
7,莙
7,莚
7,莛
7,莝
7,莞
7,莠
7,莢
7,莣
7,莤
7,莥
7,莦
7,莧
7,莨
7,莩
7,莪
7,莫
7,莮
7,莯
7,莰
7,華
8,荓
8,莽
8,莿
8,菀
8,菁
8,菂
8,菃
8,菄
8,菅
8,菆
8,菇
8,菈
8,菉
8,菊
8,菋
8,菌
8,菎
8,菏
8,菑
8,菔
8,菕
8,菖
8,菗
8,菘
8,菙
8,菛
8,菜
8,菝
8,菞
8,菟
8,菠
8,菡
8,菢
8,菣
8,菤
8,菥
8,菧
8,菨
8,菩
8,菪
8,菫
8,菬
8,菮
8,菰
8,菱
8,菲
8,菳
8,菴
8,菵
8,菶
8,菸
8,菹
8,菺
8,菻
8,菼
8,菽
8,菾
8,菿
8,萁
8,萃
8,萄
8,萆
8,萇
8,萉
8,萊
8,萋
8,萌
8,萍
8,萎
8,萏
8,萐
8,萑
8,萒
8,萓
8,萛
8,萣
8,著
9,𦳊
9,萩
9,萫
9,萬
9,萭
9,萯
9,萰
9,萱
9,萲
9,萳
9,萴
9,萵
9,萶
9,萷
9,萸
9,萹
9,萺
9,萻
9,萼
9,落
9,萿
9,葀
9,葂
9,葃
9,葄
9,葅
9,葆
9,葇
