筆畫數,漢字
0,日
1,旦
2,旨
2,早
2,旬
2,旭
2,旮
2,旯
3,旰
3,旱
3,旲
3,旳
3,旴
3,旵
4,旺
4,旻
4,旼
4,旽
4,昀
4,昂
4,昃
4,昄
4,昅
4,昆
4,昇
4,昈
4,昉
4,昊
4,昋
4,昌
4,昍
4,明
4,昏
4,昐
4,昑
4,昒
4,易
4,昔
4,昕
5,昜
5,昝
5,星
5,映
5,昡
5,昢
5,昤
5,春
5,昦
5,昧
5,昨
5,昫
5,昭
5,昮
5,是
5,昱
5,昲
5,昳
5,昴
5,昵
5,昶
5,昹
5,昺
6,晁
6,時
6,晃
6,晅
6,晇
6,晉
6,晊
6,晌
6,晏
6,晑
6,晒
7,晙
7,晚
7,晛
7,晜
7,晝
7,晞
7,晟
7,晡
7,晢
7,晤
7,晥
7,晦
7,晨
7,曼
8,晪
8,晬
8,普
8,景
8,晰
8,晱
8,晲
8,晴
8,晶
8,晷
8,晸
8,晹
8,智
8,晻
8,晼
8,晾
8,暀
8,暑
9,暄
9,暆
9,暇
9,暈
9,暉
9,暊
9,暋
9,暌
9,暍
9,暐
9,暔
9,暕
9,暖
9,暗
9,暘
9,暙
10,㬎
10,暝
10,暟
10,暠
10,暡
10,暢
10,暨
11,暩
11,暪
11,暫
11,暮
11,暯
11,暰
11,暱
11,暲
11,暴
11,暵
11,暷
12,暸
12,暹
12,暺
12,暻
12,暽
12,暾
12,曀
12,曄
12,曆
12,曇
12,曈
12,曉
12,曊
12,曋
12,曌
13,曏
13,曒
13,曖
13,曚
14,曘
14,曙
14,曛
14,曜
15,曝
15,曞
15,曠
16,曣
16,曤
16,曦
16,曨
17,曩
19,曫
19,曬
20,曭
20,曮
