筆畫數,漢字
0,竹
2,竺
2,竻
3,竽
3,竿
3,笀
3,笁
4,笅
4,笆
4,笈
4,笉
4,笊
4,笋
4,笎
4,笏
4,笐
4,笑
4,笒
4,笓
5,笘
5,笙
5,笚
5,笛
5,笝
5,笞
5,笠
5,笢
5,笣
5,笤
5,笥
5,符
5,笨
5,笪
5,笫
5,第
5,笭
5,笮
5,笯
5,笰
5,笱
5,笲
5,笳
5,笴
5,笵
5,笸
5,笻
6,笄
6,筀
6,筄
6,筅
6,筆
6,筇
6,筈
6,等
6,筊
6,筋
6,筌
6,筍
6,筎
6,筏
6,筐
6,筑
6,筒
6,答
6,策
6,筘
7,筠
7,筡
7,筣
7,筤
7,筥
7,筦
7,筧
7,筩
7,筭
7,筮
7,筰
7,筱
7,筲
7,筳
7,筴
7,筵
7,筶
7,筷
7,筸
7,節
8,劄
8,箂
8,箄
8,箅
8,箇
8,箈
8,箊
8,箋
8,箌
8,箍
8,箎
8,箏
8,箐
8,箑
8,箔
8,箕
8,箖
8,算
8,箘
8,箙
8,箛
8,箜
8,箝
8,箠
8,管
8,箤
9,箬
9,箭
9,箯
9,箱
9,箴
9,箵
9,箷
9,箸
9,箹
9,箾
9,篁
9,範
9,篆
9,篇
9,篊
9,篋
9,篌
9,篎
10,築
10,篔
10,篕
10,篘
10,篙
10,篚
10,篛
10,篜
10,篝
10,篞
10,篟
10,篠
10,篡
10,篢
10,篣
10,篤
10,篥
10,篦
10,篧
10,篨
10,篩
10,篪
10,篫
10,簑
11,篰
11,篱
11,篲
11,篳
11,篴
11,篷
11,篸
11,篹
11,篻
11,篽
11,篾
11,篿
11,簀
11,簁
11,簂
11,簃
11,簅
11,簆
11,簇
11,簉
11,簊
11,簋
11,簌
11,簍
11,簎
11,簏
11,簐
11,簕
12,簙
12,簜
12,簝
12,簞
12,簟
12,簠
12,簡
12,簢
12,簣
12,簥
12,簦
12,簧
12,簨
12,簩
12,簪
12,簫
12,簬
12,簭
12,簰
13,簳
13,簷
13,簸
13,簹
13,簻
13,簼
13,簽
13,簾
13,簿
13,籀
14,籃
14,籅
14,籇
14,籈
14,籉
14,籊
14,籌
14,籍
15,籐
15,籓
15,籔
16,籗
16,籙
16,籚
16,籛
16,籜
16,籟
16,籠
17,籣
17,籤
17,籥
17,籦
17,籧
18,籪
19,籩
19,籫
19,籬
19,籮
20,籯
26,籲
