筆畫數,漢字
0,山
2,屳
2,屴
2,屵
3,屹
3,屺
3,屻
3,屼
3,屾
4,岆
4,岈
4,岉
4,岊
4,岋
4,岌
4,岏
4,岐
4,岑
4,岒
4,岓
4,岔
4,岕
5,岝
5,岟
5,岠
5,岡
5,岢
5,岣
5,岤
5,岥
5,岦
5,岧
5,岨
5,岩
5,岪
5,岫
5,岬
5,岭
5,岮
5,岯
5,岰
5,岱
5,岳
5,岵
5,岶
5,岷
5,岸
6,岍
6,峆
6,峇
6,峈
6,峉
6,峊
6,峋
6,峌
6,峎
6,峏
6,峐
6,峒
6,峓
6,峔
6,峖
6,峗
6,峘
6,峙
6,峚
6,峛
6,峞
6,峟
7,埊
7,峨
7,峪
7,峬
7,峭
7,峮
7,峰
7,峱
7,峴
7,島
7,峷
7,峸
7,峹
7,峻
7,峽
7,峿
7,崀
7,崁
8,崆
8,崇
8,崋
8,崌
8,崍
8,崎
8,崏
8,崑
8,崒
8,崔
8,崖
8,崗
8,崙
8,崚
8,崛
8,崝
8,崞
8,崟
8,崠
8,崢
8,崣
8,崤
8,崥
8,崦
8,崧
8,崨
8,崩
8,崮
8,崰
9,崱
9,崲
9,崳
9,崴
9,崵
9,崶
9,崷
9,崸
9,崹
9,崺
9,崼
9,崽
9,崿
9,嵀
9,嵁
9,嵂
9,嵃
9,嵅
9,嵇
9,嵉
9,嵋
9,嵌
9,嵎
9,嵐
9,嵑
9,嵒
9,嵕
9,嵙
10,嵊
10,嵞
10,嵢
10,嵣
10,嵥
10,嵧
10,嵨
10,嵩
10,嵫
10,嵬
10,嵯
10,嵱
10,嵲
11,嵷
11,嵹
11,嵺
11,嵼
11,嵽
11,嵾
11,嵿
11,嶀
11,嶁
11,嶂
11,嶄
11,嶆
11,嶇
11,嶈
11,嶉
11,嶊
11,嶍
12,嶒
12,嶓
12,嶔
12,嶕
12,嶗
12,嶙
12,嶚
12,嶜
12,嶝
12,嶞
12,嶟
12,嶠
12,嶡
12,嶢
13,嶧
13,嶨
13,嶩
13,嶪
13,嶬
13,嶭
13,嶮
13,嶯
13,嶰
13,嶱
13,嶲
13,嶴
13,嶵
14,嶷
14,嶸
14,嶺
14,嶼
14,嶽
15,巀
15,巂
16,巃
17,巆
17,巇
17,巉
17,巋
18,巍
18,巏
19,巑
19,巒
19,巔
19,巕
20,巖
20,巘
