筆畫數,漢字
0,衣
3,衧
3,表
3,衩
3,衪
3,衫
4,衭
4,衯
4,衰
4,衱
4,衲
4,衴
4,衵
4,衶
4,衷
4,衹
4,衼
4,衽
4,衾
4,衿
4,袀
4,袁
4,袂
4,袃
5,袈
5,袉
5,袋
5,袌
5,袍
5,袎
5,袑
5,袒
5,袓
5,袕
5,袖
5,袗
5,袘
5,袙
5,袚
5,袛
5,袞
5,袟
5,袡
5,袢
5,袤
5,袧
5,袨
5,袪
5,被
5,袬
6,袱
6,袲
6,袶
6,袷
6,袸
6,袹
6,袺
6,袼
6,袽
6,袾
6,裀
6,裁
6,裂
6,裉
7,裊
7,裋
7,裌
7,裍
7,裎
7,裏
7,裐
7,裒
7,裔
7,裕
7,裖
7,裗
7,裘
7,裙
7,裚
7,裛
7,補
7,裝
7,裞
7,裟
7,裡
8,裧
8,裨
8,裫
8,裬
8,裮
8,裯
8,裰
8,裱
8,裲
8,裳
8,裴
8,裶
8,裷
8,裸
8,裹
8,裺
8,裻
8,裼
8,製
8,裾
8,褁
8,褂
9,褅
9,褆
9,複
9,褉
9,褊
9,褋
9,褌
9,褎
9,褐
9,褑
9,褒
9,褓
9,褔
9,褕
9,褖
9,褗
9,褘
9,褙
9,褚
10,褞
10,褟
10,褡
10,褢
10,褣
10,褥
10,褦
10,褧
10,褩
10,褪
10,褫
10,褬
10,褭
10,褮
10,褯
10,褰
10,褱
10,褲
11,褳
11,褵
11,褶
11,褷
11,褸
11,褻
11,褼
11,褽
11,褾
11,襁
11,襂
11,襄
12,襆
12,襉
12,襋
12,襌
12,襏
12,襐
12,襑
12,襒
12,襓
13,襖
13,襗
13,襘
13,襙
13,襚
13,襛
13,襜
13,襝
13,襞
13,襟
13,襠
13,襡
13,襢
14,襣
14,襤
14,襦
15,襩
15,襪
15,襫
15,襬
15,襭
15,襮
16,襯
16,襱
16,襲
17,襳
17,襴
18,襶
19,襹
19,襺
19,襻
19,襼
