筆畫數,漢字
0,口
2,古
2,句
2,另
2,叨
2,叩
2,只
2,叫
2,召
2,叭
2,叮
2,可
2,台
2,叱
2,史
2,右
2,叵
2,司
2,叻
2,叼
3,㕧
3,吁
3,吃
3,各
3,吆
3,吇
3,合
3,吉
3,吊
3,吋
3,同
3,名
3,后
3,吏
3,吐
3,向
3,吒
4,吘
4,吙
4,君
4,吜
4,吝
4,吞
4,吟
4,吠
4,吤
4,吥
4,否
4,吧
4,吨
4,吩
4,吪
4,含
4,听
4,吭
4,吮
4,吰
4,吱
4,吳
4,吵
4,吶
4,吷
4,吸
4,吹
4,吻
4,吼
4,吽
4,吾
4,呀
4,呁
4,呂
4,呃
4,呅
4,呆
4,呇
4,呈
4,告
4,呎
4,呏
4,呔
5,呠
5,呡
5,呢
5,呣
5,呤
5,呥
5,呦
5,呧
5,周
5,呫
5,呬
5,呯
5,呰
5,呱
5,呲
5,味
5,呴
5,呵
5,呶
5,呷
5,呸
5,呺
5,呻
5,呼
5,命
5,呾
5,呿
5,咀
5,咁
5,咂
5,咄
5,咆
5,咇
5,咈
5,咋
5,和
5,咍
5,咎
5,咐
5,咑
5,咒
5,咕
5,咖
5,咘
5,咚
6,𠱾
6,咠
6,咡
6,咢
6,咥
6,咦
6,咧
6,咨
6,咩
6,咪
6,咫
6,咬
6,咭
6,咮
6,咯
6,咰
6,咱
6,咳
6,咶
6,咷
6,咸
6,咺
6,咻
6,咼
6,咽
6,咾
6,咿
6,哀
6,品
6,哂
6,哃
6,哄
6,哅
6,哆
6,哇
6,哈
6,哉
6,哎
6,哏
6,哖
6,哞
7,哠
7,員
7,哢
7,哤
7,哥
7,哦
7,哧
7,哨
7,哩
7,哪
7,哫
7,哭
7,哮
7,哱
7,哲
7,哳
7,哷
7,哸
7,哺
7,哻
7,哼
7,哽
7,哿
7,唁
7,唃
7,唄
7,唅
7,唆
7,唇
7,唈
7,唉
7,唊
7,唋
7,唌
7,唎
7,唏
7,唐
7,唑
7,唒
7,唔
7,唗
7,唚
7,唦
7,唧
8,唪
8,唬
8,唭
8,售
8,唯
8,唰
8,唱
8,唲
8,唳
8,唴
8,唵
8,唶
8,唷
8,唸
8,唹
8,唻
8,唼
8,唾
8,啀
8,啁
8,啃
8,啄
8,啅
8,商
8,啈
8,啊
8,啋
8,啍
8,啎
8,問
8,啐
8,啑
8,啒
8,啕
8,啖
8,啗
8,啚
8,啜
8,啞
8,啟
8,啡
8,啢
8,啣
8,啤
8,啥
8,啦
8,啪
8,啲
8,啵
8,啶
8,啷
9,啻
9,啼
9,啽
9,啾
9,啿
9,喀
9,喁
9,喂
9,喃
9,善
9,喇
9,喈
9,喉
9,喊
9,喋
9,喌
9,喎
9,喏
9,喑
9,喒
9,喓
9,喔
9,喕
9,喘
9,喙
9,喚
9,喜
9,喝
9,喟
9,喡
9,喢
9,喣
9,喤
9,喥
9,喦
9,喧
9,喨
9,喪
9,喫
9,喬
9,喭
9,單
9,喱
9,喲
9,喳
9,喵
9,喻
10,喍
10,喿
10,嗀
10,嗂
10,嗃
10,嗄
10,嗅
10,嗆
10,嗇
10,嗈
10,嗉
10,嗊
10,嗋
10,嗌
10,嗍
10,嗎
10,嗏
10,嗐
10,嗑
10,嗒
10,嗓
10,嗔
10,嗕
10,嗖
10,嗙
10,嗚
10,嗛
10,嗜
10,嗝
10,嗟
10,嗡
10,嗢
10,嗣
10,嗤
10,嗥
10,嗦
10,嗨
10,嗩
10,嗯
10,嗲
10,嗀
11,嗶
11,嗷
11,嗹
11,嗺
11,嗼
11,嗽
11,嗾
11,嗿
11,嘀
11,嘁
11,嘂
11,嘄
11,嘆
11,嘈
11,嘉
11,嘌
11,嘍
11,嘎
11,嘏
11,嘐
11,嘒
11,嘓
11,嘔
11,嘕
11,嘖
11,嘗
11,嘛
11,嘜
11,嘝
11,嘢
11,嘥
11,嘧
11,噓
12,嘟
12,嘩
12,嘪
12,嘬
12,嘮
12,嘯
12,嘰
12,嘲
12,嘳
12,嘴
12,嘵
12,嘶
12,嘸
12,嘹
12,嘺
12,嘻
12,嘼
12,嘽
12,嘾
12,嘿
12,噀
12,噁
12,噂
12,噅
12,噆
12,噈
12,噉
12,噊
12,噌
12,噍
12,噎
12,噗
12,噘
12,噙
12,噚
12,噴
13,噞
13,噠
13,噢
13,噣
13,噤
13,噥
13,噦
13,器
13,噩
13,噪
13,噫
13,噬
13,噭
13,噮
13,噯
13,噰
13,噱
13,噲
13,噳
13,噶
13,噷
13,噸
13,噹
14,噾
14,噿
14,嚀
14,嚁
14,嚂
14,嚃
14,嚄
14,嚅
14,嚆
14,嚇
14,嚌
14,嚍
14,嚎
14,嚏
14,嚐
14,嚓
15,嚕
15,嚗
15,嚘
15,嚙
15,嚚
15,嚜
15,嚝
15,嚟
16,嚥
16,嚦
16,嚧
16,嚨
16,嚪
16,嚫
16,嚬
16,嚭
16,嚮
17,嚲
17,嚳
17,嚴
17,嚵
17,嚶
17,嚷
18,嚼
18,嚽
18,嚾
18,囀
18,囁
18,囂
18,囃
18,囍
19,囅
19,囆
19,囈
19,囉
19,囊
19,囋
20,囌
21,囑
21,囓
22,囔
