筆畫數,漢字
0,虫
2,虭
2,虮
2,虯
2,虰
2,虱
3,虳
3,虴
3,虷
3,虹
3,虺
3,虻
3,虼
4,蚅
4,蚆
4,蚇
4,蚊
4,蚋
4,蚌
4,蚍
4,蚎
4,蚐
4,蚑
4,蚓
4,蚔
4,蚕
4,蚖
4,蚗
4,蚘
4,蚙
4,蚚
4,蚜
4,蚝
4,蚞
4,蚡
4,蚢
4,蚣
4,蚤
4,蚥
4,蚧
4,蚨
4,蚩
4,蚪
5,蚯
5,蚰
5,蚱
5,蚳
5,蚴
5,蚵
5,蚶
5,蚷
5,蚸
5,蚹
5,蚺
5,蚻
5,蚼
5,蚽
5,蚾
5,蚿
5,蛀
5,蛁
5,蛂
5,蛃
5,蛄
5,蛅
5,蛆
5,蛇
5,蛈
5,蛉
5,蛋
5,蛌
6,䖵
6,蛐
6,蛑
6,蛓
6,蛔
6,蛖
6,蛗
6,蛘
6,蛙
6,蛚
6,蛛
6,蛜
6,蛝
6,蛞
6,蛟
6,蛢
6,蛣
6,蛤
6,蛦
6,蛨
6,蛩
6,蛪
6,蛫
6,蛬
6,蛭
7,蛵
7,蛶
7,蛷
7,蛸
7,蛹
7,蛺
7,蛻
7,蛾
7,蜀
7,蜁
7,蜂
7,蜃
7,蜄
7,蜅
7,蜆
7,蜇
7,蜈
7,蜉
7,蜊
7,蜋
7,蜌
7,蜍
7,蜎
7,蜑
7,蜒
7,蜓
7,蝆
8,蜘
8,蜙
8,蜚
8,蜛
8,蜜
8,蜞
8,蜠
8,蜡
8,蜢
8,蜣
8,蜤
8,蜥
8,蜦
8,蜧
8,蜨
8,蜩
8,蜪
8,蜬
8,蜭
8,蜮
8,蜰
8,蜱
8,蜲
8,蜳
8,蜴
8,蜵
8,蜷
8,蜸
8,蜺
8,蜻
8,蜼
8,蜾
8,蜿
8,蝀
8,蝁
8,蝂
8,蝃
9,蝌
9,蝍
9,蝎
9,蝏
9,蝐
9,蝑
9,蝒
9,蝓
9,蝔
9,蝕
9,蝖
9,蝗
9,蝘
9,蝙
9,蝚
9,蝛
9,蝜
9,蝝
9,蝞
9,蝟
9,蝠
9,蝡
9,蝢
9,蝣
9,蝤
9,蝥
9,蝦
9,蝧
9,蝨
9,蝩
9,蝪
9,蝫
9,蝬
9,蝭
9,蝮
9,蝯
9,蝳
9,蝴
9,蝵
9,蝶
9,蝷
9,蝸
9,蝺
9,蝻
9,蟡
10,蝹
10,螁
10,螂
10,螃
10,螄
10,螅
10,螇
10,螈
10,螉
10,融
10,螏
10,螐
10,螑
10,螒
10,螓
10,螔
10,螖
10,螗
10,螘
10,螚
10,螛
10,螜
10,螝
10,螞
10,螟
10,螢
10,螣
10,螤
11,螪
11,螫
11,螬
11,螭
11,螮
11,螯
11,螰
11,螲
11,螳
11,螴
11,螵
11,螶
11,螷
11,螸
11,螹
11,螺
11,螻
11,螼
11,螽
11,螾
11,螿
11,蟀
11,蟂
11,蟃
11,蟄
11,蟅
11,蟆
11,蟈
11,蟉
11,蟊
11,蟋
11,蟌
11,蟑
12,蟓
12,蟔
12,蟗
12,蟘
12,蟙
12,蟛
12,蟜
12,蟝
12,蟞
12,蟟
12,蟠
12,蟢
12,蟣
12,蟤
12,蟥
12,蟦
12,蟧
12,蟨
12,蟪
12,蟫
12,蟬
12,蟭
12,蟯
12,蟲
12,蟳
12,蟴
13,蟒
13,蟶
13,蟷
13,蟹
13,蟺
13,蟻
13,蟼
13,蟾
13,蟿
13,蠀
13,蠁
13,蠂
13,蠃
13,蠅
13,蠆
13,蠈
13,蠉
13,蠊
13,蠋
13,蠌
13,蠍
14,蠐
14,蠑
14,蠓
14,蠔
14,蠕
14,蠖
14,蠗
14,蠙
15,蠛
15,蠜
15,蠝
15,蠟
15,蠠
15,蠡
15,蠢
15,蠣
15,蠤
16,蠥
16,蠦
16,蠨
16,蠩
16,蠪
16,蠫
16,蠬
17,蠮
17,蠯
17,蠰
17,蠱
17,蠲
17,蠳
18,蠵
18,蠶
18,蠷
18,蠸
18,蠹
19,蠻
20,蠼
21,蠽
21,蠾
22,蠿
