筆畫數,漢字
0,女
2,奴
2,奶
3,奷
3,奸
3,她
3,奻
3,奼
3,好
3,奾
3,奿
3,妀
3,妁
3,如
3,妃
3,妄
3,妅
4,妊
4,妌
4,妎
4,妏
4,妐
4,妒
4,妓
4,妖
4,妗
4,妘
4,妙
4,妝
4,妞
4,妠
4,妡
4,妢
4,妣
4,妤
4,妥
4,妦
4,妧
4,妨
5,妮
5,妯
5,妱
5,妲
5,妳
5,妴
5,妵
5,妶
5,妹
5,妺
5,妻
5,妼
5,妽
5,妾
5,姀
5,姁
5,姃
5,姅
5,姆
5,姇
5,姈
5,姊
5,始
5,姌
5,姍
5,姎
5,姏
5,姐
5,姑
5,姒
5,姓
5,委
5,姖
6,妍
6,姘
6,姚
6,姛
6,姜
6,姝
6,姞
6,姠
6,姡
6,姣
6,姤
6,姥
6,姦
6,姨
6,姩
6,姪
6,姭
6,姮
6,姱
6,姲
6,姳
6,姴
6,姵
6,姶
6,姷
6,姺
6,姻
6,姼
6,姽
6,姾
6,姿
6,娀
6,威
6,娃
7,姬
7,娉
7,娊
7,娌
7,娏
7,娑
7,娓
7,娕
7,娖
7,娗
7,娘
7,娙
7,娛
7,娜
7,娞
7,娟
7,娠
7,娣
7,娥
7,娩
7,娭
7,娮
7,娳
8,娵
8,娶
8,娷
8,娸
8,娹
8,娼
8,娾
8,婀
8,婁
8,婂
8,婃
8,婄
8,婆
8,婇
8,婈
8,婉
8,婊
8,婌
8,婍
8,婐
8,婑
8,婒
8,婓
8,婕
8,婖
8,婗
8,婘
8,婚
8,婛
8,婜
8,婝
8,婞
8,婟
8,婠
8,婢
8,婤
8,婥
8,婦
8,婧
8,婩
8,婪
8,婬
8,婭
8,婰
9,婷
9,婸
9,婺
9,婻
9,婼
9,婽
9,婿
9,媃
9,媄
9,媊
9,媋
9,媌
9,媎
9,媏
9,媒
9,媓
9,媔
9,媕
9,媗
9,媚
9,媛
9,媜
9,媝
9,媞
9,媟
9,媢
9,媥
9,媦
9,媧
9,媩
9,媬
9,媮
9,媯
10,媐
10,媰
10,媱
10,媲
10,媳
10,媴
10,媵
10,媶
10,媷
10,媸
10,媹
10,媺
10,媻
10,媼
10,媽
10,媾
10,媿
10,嫀
10,嫁
10,嫂
10,嫄
10,嫆
10,嫇
10,嫈
10,嫉
10,嫊
10,嫋
10,嫌
10,嫍
11,嫕
11,嫖
11,嫗
11,嫘
11,嫙
11,嫚
11,嫛
11,嫜
11,嫝
11,嫞
11,嫟
11,嫠
11,嫡
11,嫢
11,嫣
11,嫥
11,嫦
11,嫨
11,嫩
11,嫪
11,嫫
11,嫬
11,嫭
11,嫮
12,嫳
12,嫴
12,嫵
12,嫶
12,嫷
12,嫸
12,嫹
12,嫺
12,嫻
12,嫽
12,嫿
12,嬁
12,嬂
12,嬃
12,嬅
12,嬇
12,嬈
12,嬉
12,嬋
12,嬌
12,嬏
13,嬐
13,嬓
13,嬔
13,嬖
13,嬗
13,嬙
13,嬚
13,嬛
13,嬝
13,嬞
13,嬠
13,嬡
14,嬣
14,嬤
14,嬥
14,嬦
14,嬧
14,嬨
14,嬪
14,嬬
14,嬭
14,嬮
14,嬯
14,嬰
14,嬲
14,嬴
15,嬸
15,嬼
15,嬽
16,嬾
16,嬿
17,孀
17,孃
17,孅
18,孇
18,孈
19,孋
19,孌
20,孍
21,孎
