筆畫數,漢字
0,魚
2,魛
3,魟
3,魠
3,魡
4,魤
4,魦
4,魧
4,魨
4,魬
4,魯
4,魰
4,魱
4,魴
4,魵
4,魶
4,魷
5,魺
5,魻
5,魼
5,魽
5,魾
5,鮀
5,鮂
5,鮅
5,鮆
5,鮇
5,鮈
5,鮐
5,鮑
5,鮒
5,鮓
5,鮕
6,鮚
6,鮛
6,鮞
6,鮠
6,鮡
6,鮢
6,鮤
6,鮥
6,鮦
6,鮨
6,鮪
6,鮫
6,鮭
6,鮮
6,鮯
7,鮵
7,鮶
7,鮸
7,鮹
7,鮽
7,鮿
7,鯀
7,鯁
7,鯃
7,鯄
7,鯆
7,鯇
7,鯈
7,鯉
7,鯊
7,鯓
8,鯔
8,鯕
8,鯖
8,鯗
8,鯙
8,鯚
8,鯛
8,鯜
8,鯞
8,鯠
8,鯡
8,鯢
8,鯤
8,鯥
8,鯦
8,鯧
8,鯨
8,鯪
8,鯫
8,鯬
8,鯰
9,鯷
9,鯸
9,鯽
9,鰂
9,鰅
9,鰆
9,鰇
9,鰈
9,鰉
9,鰋
9,鰍
9,鰎
9,鰒
9,鰓
9,鰔
9,鰗
10,鰜
10,鰝
10,鰡
10,鰣
10,鰤
10,鰥
10,鰨
10,鰩
10,鰫
10,鰬
10,鰭
11,鰱
11,鰲
11,鰳
11,鰴
11,鰶
11,鰷
11,鰹
11,鰻
11,鰼
11,鰽
11,鰾
11,鰿
11,鱀
11,鱁
11,鱄
11,鱆
11,鱈
12,鱉
12,鱊
12,鱋
12,鱌
12,鱍
12,鱎
12,鱐
12,鱒
12,鱔
12,鱕
12,鱖
12,鱗
12,鱘
12,鱙
13,鱞
13,鱟
13,鱠
13,鱢
13,鱣
13,鱦
13,鱧
14,鱨
14,鱭
14,鱮
15,鱱
15,鱳
15,鱴
15,鱵
16,鱷
16,鱸
18,鱹
19,鱺
