筆畫數,漢字
0,金
1,釓
1,釔
2,釕
2,釗
2,釘
2,釙
2,釚
2,釜
2,針
2,釢
3,釣
3,釤
3,釦
3,釧
3,釨
3,釩
3,釪
3,釫
3,釬
3,釭
3,釮
3,釱
3,釳
3,釴
3,釵
3,釷
3,釸
3,釹
4,釽
4,釿
4,鈀
4,鈁
4,鈂
4,鈃
4,鈄
4,鈅
4,鈆
4,鈇
4,鈉
4,鈊
4,鈌
4,鈍
4,鈏
4,鈐
4,鈑
4,鈒
4,鈔
4,鈕
4,鈖
4,鈗
4,鈙
4,鈚
4,鈜
4,鈞
4,鈣
4,鈤
4,鈥
4,鈦
4,鈧
5,鈭
5,鈮
5,鈰
5,鈱
5,鈲
5,鈳
5,鈴
5,鈶
5,鈷
5,鈸
5,鈹
5,鈺
5,鈽
5,鈾
5,鈿
5,鉀
5,鉅
5,鉆
5,鉈
5,鉉
5,鉊
5,鉋
5,鉌
5,鉍
5,鉎
5,鉏
5,鉐
5,鉑
5,鉒
5,鉓
5,鉔
5,鉖
5,鉗
5,鉚
5,鉛
5,鉞
5,鉠
5,鉡
5,鉣
5,鉤
5,鉥
5,鉦
5,鉧
5,鉬
5,鉭
5,鉯
5,鉰
5,鉲
6,鉶
6,鉸
6,鉹
6,鉺
6,鉻
6,鉽
6,鉾
6,鉿
6,銀
6,銂
6,銃
6,銅
6,銆
6,銇
6,銈
6,銊
6,銋
6,銌
6,銍
6,銎
6,銑
6,銓
6,銔
6,銕
6,銖
6,銗
6,銘
6,銙
6,銚
6,銛
6,銜
6,銝
6,銠
6,銡
6,銢
6,銣
6,銤
6,銥
6,銦
6,銧
6,銨
6,銩
6,銪
6,銫
6,銬
7,銲
7,銳
7,銴
7,銵
7,銶
7,銷
7,銹
7,銻
7,銼
7,鋀
7,鋁
7,鋂
7,鋃
7,鋄
7,鋅
7,鋆
7,鋇
7,鋈
7,鋉
7,鋊
7,鋋
7,鋌
7,鋍
7,鋎
7,鋏
7,鋐
7,鋑
7,鋒
7,鋓
7,鋕
7,鋗
7,鋘
7,鋙
7,鋝
7,鋞
7,鋟
7,鋠
7,鋡
7,鋤
7,鋦
7,鋧
7,鋨
7,鋩
7,鋪
7,鋮
7,鋯
7,鋰
7,鋱
8,鉼
8,鋷
8,鋸
8,鋹
8,鋺
8,鋻
8,鋼
8,鋾
8,鋿
8,錀
8,錁
8,錂
8,錄
8,錆
8,錈
8,錉
8,錋
8,錌
8,錍
8,錎
8,錏
8,錐
8,錒
8,錓
8,錔
8,錕
8,錖
8,錘
8,錙
8,錚
8,錛
8,錝
8,錞
8,錟
8,錠
8,錡
8,錢
8,錣
8,錤
8,錥
8,錦
8,錧
8,錩
8,錪
8,錫
8,錭
8,錮
8,錯
8,錳
8,錴
8,錵
8,錶
8,錸
8,錹
8,錼
8,鍆
9,錨
9,鍇
9,鍉
9,鍊
9,鍋
9,鍌
9,鍍
9,鍎
9,鍏
9,鍐
9,鍑
9,鍒
9,鍔
9,鍕
9,鍖
9,鍗
9,鍘
9,鍙
9,鍚
9,鍛
9,鍜
9,鍞
9,鍠
9,鍡
9,鍣
9,鍤
9,鍥
9,鍧
9,鍪
9,鍬
9,鍭
9,鍰
9,鍱
9,鍵
9,鍶
9,鍷
9,鍹
9,鍺
9,鍻
9,鍼
9,鍾
9,鎀
9,鎂
9,鎃
10,鎈
10,鎉
10,鎊
10,鎌
10,鎍
10,鎎
10,鎏
10,鎑
10,鎒
10,鎔
10,鎕
10,鎖
10,鎗
10,鎘
10,鎙
10,鎚
10,鎛
10,鎝
10,鎞
10,鎟
10,鎡
10,鎢
10,鎣
10,鎤
10,鎥
10,鎦
10,鎧
10,鎨
10,鎪
10,鎬
10,鎮
10,鎯
10,鎰
10,鎱
10,鎲
10,鎳
10,鎴
10,鎵
10,鎷
11,鎩
11,鏀
11,鏂
11,鏃
11,鏄
11,鏇
11,鏈
11,鏊
11,鏌
11,鏍
11,鏎
11,鏏
11,鏐
11,鏑
11,鏒
11,鏔
11,鏕
11,鏖
11,鏗
11,鏘
11,鏙
11,鏚
11,鏜
11,鏝
11,鏞
11,鏟
11,鏡
11,鏢
11,鏣
11,鏤
11,鏦
11,鏧
11,鏨
11,鏬
11,鏮
11,鏹
12,鏵
12,鏶
12,鏷
12,鏸
12,鏺
12,鏻
12,鏼
12,鏽
12,鏾
12,鏿
12,鐀
12,鐃
12,鐆
12,鐇
12,鐉
12,鐊
12,鐋
12,鐌
12,鐍
12,鐎
12,鐏
12,鐐
12,鐑
12,鐒
12,鐓
12,鐔
12,鐕
12,鐖
12,鐘
12,鐙
12,鐠
12,鐨
13,鐩
13,鐪
13,鐫
13,鐬
13,鐮
13,鐰
13,鐱
13,鐲
13,鐳
13,鐵
13,鐶
13,鐷
13,鐸
13,鐹
13,鐺
13,鐻
13,鐼
13,鐽
13,鐿
13,鑀
14,鑄
14,鑅
14,鑆
14,鑇
14,鑈
14,鑉
14,鑊
14,鑋
14,鑌
14,鑏
14,鑐
14,鑑
14,鑒
15,鑕
15,鑗
15,鑝
15,鑞
15,鑠
15,鑢
15,鑣
15,鑤
16,鑨
16,鑩
16,鑪
16,鑫
17,鑭
17,鑮
17,鑯
17,鑰
17,鑱
17,鑲
17,鑳
18,鑴
18,鑵
18,鑶
18,鑷
18,鑸
19,鑼
19,鑽
19,鑾
19,鑿
20,钀
20,钁
20,钂
21,钃
